Date;Time of day;Germany/Austria/Luxembourg[Euro/MWh];Denmark 1[Euro/MWh];Denmark 2[Euro/MWh];France[Euro/MWh];Northern Italy[Euro/MWh];Netherlands[Euro/MWh];Poland[Euro/MWh];Sweden 4[Euro/MWh];Switzerland[Euro/MWh];Slovenia[Euro/MWh];Czech Republic[Euro/MWh];Hungary[Euro/MWh]
Jun 24, 2017;2:00 PM;7.38;20.6;20.6;25.96;43.33;36.1;-;20.6;27.24;43.33;13.01;49.3
Jun 24, 2017;3:00 PM;9.77;19.68;19.68;25.02;43.69;28.66;-;19.68;27.92;43.69;21.87;48.89
Jun 24, 2017;4:00 PM;12.64;15.15;19.41;25.03;46.81;28;-;19.41;26.79;46.81;20;53.08
Jun 24, 2017;5:00 PM;20.31;20.31;22.07;28.24;47.46;30.27;-;22.07;25.09;47.46;19.52;55.91
Jun 24, 2017;6:00 PM;29.59;29.59;27.83;29.59;50;29.59;-;23.57;28.07;50;29.06;59.16
Jun 24, 2017;7:00 PM;31.07;23.78;23.78;31.07;54.98;31.07;-;23.78;29.89;54.98;31.01;63
Jun 24, 2017;8:00 PM;29.82;23.69;23.69;29.64;55;30.1;-;23.69;31.1;55;34;64.92
Jun 24, 2017;9:00 PM;31.38;23.74;23.74;26.32;56;39.39;-;23.74;32.75;56;34.28;67.3
Jun 24, 2017;10:00 PM;31.94;23.87;23.87;31.94;50;31.94;-;23.87;33;50;34.8;56.28
Jun 24, 2017;11:00 PM;29.75;23.49;23.49;29.75;47.46;29.75;-;23.49;35.06;36.4;31.01;47.01
Jun 25, 2017;12:00 AM;28.06;23.95;23.95;28.06;46;28.06;-;23.95;31.98;45;25.55;33.28
Jun 25, 2017;1:00 AM;23.59;23.03;23.03;25.37;41.81;33.35;-;23.03;30.04;41.81;21;31.41
Jun 25, 2017;2:00 AM;20.79;20.79;20.79;20.91;39.85;21.47;-;20.79;28.78;36.1;17.97;26.13
Jun 25, 2017;3:00 AM;18.25;18.25;18.25;18.37;39.24;18.86;-;18.25;26.03;39.24;16;28.24
Jun 25, 2017;4:00 AM;14.45;14.45;14.45;14.54;41.7;14.93;-;14.45;23.57;41.7;13.87;26.05
Jun 25, 2017;5:00 AM;10.25;10.25;10.25;10.5;42.18;11.68;-;10.25;17.25;36.01;12;24.52
Jun 25, 2017;6:00 AM;10.26;10.26;10.26;11.94;40.33;26.8;-;10.26;15.02;36.1;12.34;21.89
Jun 25, 2017;7:00 AM;17.69;17.69;17.69;13.85;40.33;24;-;17.69;15.94;35.8;13.2;31.64
Jun 25, 2017;8:00 AM;17.77;19.26;19.26;18.13;40.33;19.9;-;19.26;18.65;36.1;12;33.28
Jun 25, 2017;9:00 AM;16.11;21.22;21.22;18.05;42.16;27.58;-;21.22;18.29;42.16;11.43;35.08
Jun 25, 2017;10:00 AM;13.29;13.29;21.97;16.09;46.81;29.9;-;21.97;20.04;36.01;11;38.1
Jun 25, 2017;11:00 AM;13.61;13.61;21.88;16.55;46.56;31.1;-;21.88;15.73;46.56;10;36.5
Jun 25, 2017;12:00 PM;11.27;11.27;21.76;14.95;44.2;29.9;-;21.76;18.96;44.2;7;35.89
Jun 25, 2017;1:00 PM;7.32;7.32;21.07;13.97;40.33;31;-;21.07;19.16;40.33;10;33.28
Jun 25, 2017;2:00 PM;0.65;0.65;20.56;8.96;40.28;34.9;-;20.56;18.13;36.01;11;33.28
Jun 25, 2017;3:00 PM;3.3;3.3;19.91;9.99;40.28;34.14;-;19.91;15.8;36;15;33.28
Jun 25, 2017;4:00 PM;8.17;8.17;20.38;12.06;42.18;29.9;-;20.38;14.9;35.7;15;33.28
Jun 25, 2017;5:00 PM;17.01;17.01;17.58;18.28;43.83;24.3;-;17.58;16.8;17.01;15;33.28
Jun 25, 2017;6:00 PM;21.69;21.69;21.69;23.55;44.33;32.4;-;21.69;23.86;33.19;30.5;34.19
Jun 25, 2017;7:00 PM;29.21;23.2;23.2;29.21;45.33;29.21;-;23.2;28.8;34.77;29.99;35.77
Jun 25, 2017;8:00 PM;33.94;23.2;23.2;33.94;46.45;33.94;-;23.2;32.98;40.6;30.3;41.6
Jun 25, 2017;9:00 PM;35.21;23.37;23.37;35.21;47.34;35.21;-;23.37;33.99;47.34;33;45.81
Jun 25, 2017;10:00 PM;38.91;23.2;23.2;38.91;46.81;38.91;-;23.2;34.09;46.81;34.35;36.03
Jun 25, 2017;11:00 PM;36.21;21.8;21.8;37.96;43.83;39.3;-;21.8;36.44;36.4;29.5;30.97
Jun 26, 2017;12:00 AM;33.29;21.86;21.86;36.65;44.48;33.29;-;21.86;35.33;33.29;28.05;28.05
Jun 26, 2017;1:00 AM;30.8;20.24;20.24;30.8;38.96;30.8;-;20.24;33.31;30.8;27.25;27.25
Jun 26, 2017;2:00 AM;28.03;17.4;17.4;28.03;35.99;28.03;-;17.4;29.88;28.03;25.06;25.06
Jun 26, 2017;3:00 AM;26.16;16.91;16.91;26.16;33.76;26.16;-;16.91;28.28;26.16;24.43;24.43
Jun 26, 2017;4:00 AM;23.96;16.95;16.95;26.58;33.9;28.1;-;16.95;27.86;23.96;24.57;24.57
Jun 26, 2017;5:00 AM;26.21;19.08;22.36;29;35.02;26.21;-;22.36;28;26.21;28.06;28.95
Jun 26, 2017;6:00 AM;37.12;26.52;26.52;37.12;43.48;37.12;-;26.52;30.28;43.48;35.4;41.02
Jun 26, 2017;7:00 AM;39.43;23.44;29.38;39.71;46.9;39.43;-;29.38;35.29;46.9;43;50.82
Jun 26, 2017;8:00 AM;38.98;24.34;32.86;48.71;55.82;38.98;-;32.86;39.29;55.82;43.21;58.98
Jun 26, 2017;9:00 AM;34.43;23.99;32.83;47.72;54;34.43;-;32.83;39.99;54;38.67;58.98
Jun 26, 2017;10:00 AM;28.85;23.71;28.43;54.37;54.37;33;-;28.43;39.31;54.37;35;58.08
Jun 26, 2017;11:00 AM;28.09;23.43;27.91;55.64;55.64;31.33;-;27.91;39.32;55.64;35.56;60.65
Jun 26, 2017;12:00 PM;27.49;23.26;27.49;54;54;29;-;27.49;39.98;61;64;64
Jun 26, 2017;1:00 PM;27.35;23.29;27.35;55;55;30;-;27.35;39.37;61.81;64.81;64.81
Jun 26, 2017;2:00 PM;26.2;23.34;26.2;50.07;55;41.3;-;26.2;40.02;60.93;65.94;65.94
Jun 26, 2017;3:00 PM;27.2;23.24;27.2;49.03;55.82;27.2;-;27.2;40.36;64.99;70;70
Jun 26, 2017;4:00 PM;28.03;23.32;27.36;43.57;66.09;28.03;-;27.36;39.6;66.09;71.1;71.1
Jun 26, 2017;5:00 PM;35.38;23.59;27.47;37.37;70.1;37.4;-;27.47;38.39;70.1;60.1;60.1
Jun 26, 2017;6:00 PM;39.9;26.71;26.71;39.9;58.11;39.9;-;26.71;37.76;52.02;43.84;55.02
Jun 26, 2017;7:00 PM;42.91;26.71;26.71;42.91;54.99;42.91;-;26.71;40.4;54.99;47.4;55
Jun 26, 2017;8:00 PM;41.58;26.01;26.01;41.58;55.09;41.58;-;26.01;42.55;55.09;44.23;60.09
Jun 26, 2017;9:00 PM;40.55;26.37;26.37;40.55;55.82;40.55;-;26.37;42.06;55.82;43.13;60.87
Jun 26, 2017;10:00 PM;42.4;25.86;25.86;42.4;49.99;42.4;-;25.86;41.39;45.05;44.75;50.05
Jun 26, 2017;11:00 PM;38.46;23.29;23.29;38.62;48;38.35;-;23.29;41.08;39.06;37.95;42.03
Jun 27, 2017;12:00 AM;31.07;23.21;23.21;35.61;48.27;28;-;23.21;38.35;33;34.6;37.74
Jun 27, 2017;1:00 AM;30.07;22.9;22.9;30.44;46.9;29.82;-;22.9;36.74;30.07;33.1;33.28
Jun 27, 2017;2:00 AM;29.09;22.59;22.59;29.09;46.88;29.09;-;22.59;34.85;29.09;31.96;32.1
Jun 27, 2017;3:00 AM;29.04;22.5;22.5;29.04;44;29.04;-;22.5;32.82;33;31.09;31.09
Jun 27, 2017;4:00 AM;28.69;22.51;22.51;28.65;44;28.45;-;22.51;31.59;33;31;31
Jun 27, 2017;5:00 AM;29.41;28.7;28.7;29.09;42.49;27.57;-;28.7;30.93;29.41;32.9;33.36
Jun 27, 2017;6:00 AM;37.94;37.94;37.94;37.51;46.88;35.55;-;33.13;32.28;46.88;40.26;50.61
Jun 27, 2017;7:00 AM;43.55;43.55;43.55;43.47;47.53;41.19;-;41.37;38.59;47.53;47.4;52.35
Jun 27, 2017;8:00 AM;46.66;46.66;46.66;46.66;54;46.66;-;45.89;43.81;54;52;65.03
Jun 27, 2017;9:00 AM;46.3;46.3;46.3;46.3;50;46.3;-;46.3;50.15;50;60.25;62.07
Jun 27, 2017;10:00 AM;46.69;46.69;46.69;46.69;53.49;46.69;-;46.69;47.34;53.49;56.7;61.15
Jun 27, 2017;11:00 AM;48.04;48.04;48.04;50.03;50.03;48.04;-;48.04;43.84;50.03;63.55;63.55
Jun 27, 2017;12:00 PM;45.95;45.95;45.95;48;48;45.95;-;45.95;43.42;54.78;67.95;67.95
Jun 27, 2017;1:00 PM;44.45;44.45;44.45;47.14;47.63;44.67;-;44.45;40.9;55.83;67.65;67.65
Jun 27, 2017;2:00 PM;44.1;44.1;44.1;45.72;52.78;43.32;-;44.1;41;52.78;62.08;62.08
Jun 27, 2017;3:00 PM;40.15;40.15;40.15;47.61;48.5;40.5;-;40.15;40.99;48.5;66.01;66.01
Jun 27, 2017;4:00 PM;42.53;42.53;42.53;44.56;51.39;42.7;-;42.53;40.69;51.39;68.97;68.97
Jun 27, 2017;5:00 PM;42.6;42.6;42.6;45.2;55.27;42.6;-;42.6;41.07;55.27;66.08;66.08
Jun 27, 2017;6:00 PM;43.93;43.93;43.93;44.95;50;43.98;-;43.93;42.41;50;61.22;61.22
Jun 27, 2017;7:00 PM;43.95;43.95;43.95;43.95;51.28;43.95;-;43.94;44.2;51.28;59.09;59.09
Jun 27, 2017;8:00 PM;40.24;40.24;40.24;40.24;54.08;40.24;-;40.24;44.95;54.08;65.3;65.3
Jun 27, 2017;9:00 PM;37.98;37.98;37.98;38.23;52;37.98;-;37.98;41.12;52;67.09;67.09
Jun 27, 2017;10:00 PM;32.62;32.62;32.62;41.69;47.53;32.62;-;32.62;39.7;47.53;39;51.98
Jun 27, 2017;11:00 PM;27.3;27.3;27.3;39.23;46.9;27.3;-;27.3;39.57;46.9;31.6;50.36
Jun 28, 2017;12:00 AM;28.77;28.77;28.77;42.05;46.82;28.77;-;28.77;36.58;46.82;28.9;45.77
Jun 28, 2017;1:00 AM;27.35;27.35;27.35;32.1;43.33;27.35;-;27.35;29.91;37.1;27.2;34.86
Jun 28, 2017;2:00 AM;26.38;26.02;26.02;27.4;40.28;26.38;-;26.02;27.62;40.28;25.14;32.07
Jun 28, 2017;3:00 AM;26.02;25.4;25.4;26.46;39.16;26.02;-;25.4;26.54;37.1;24.7;29.85
Jun 28, 2017;4:00 AM;25.96;25.34;25.34;25.96;39;25.96;-;25.34;25.69;37.1;24.6;30.44
Jun 28, 2017;5:00 AM;27.96;27.96;27.96;27.96;40;27.96;-;27.96;25.39;40;26;37.21
Jun 28, 2017;6:00 AM;32.76;32.76;32.76;32.76;43.3;32.76;-;32.76;26.81;43.3;35.5;45.91
Jun 28, 2017;7:00 AM;38.64;38.64;38.64;38.64;46;38.64;-;38.64;34.15;46;42.45;48.94
