l_id,n_id_start,n_id_end,voltage,cables,type,frequency,name,operator,length_m,r_ohm_km,x_ohm_km,c_nf_km,i_th_max_km,not_accurate
403,22766160,22767509,380000,18,line,50,110 kV Stockem Ost- Urfeld West- Wesseling Nord|Süd-380 kV Siegtal Nord|Süd- 220 kV Gremberghoven Ost|West- 110 kV Siegburg Nord|Süd-110 kV Stockem Ost|West-380 kV Siegtal Nord|Süd- 110 kV Stockem Ost-110 kV Stockem Ost-110 kV Siegburg Nord|Süd-380 kV Siegtal Nord|Süd- 110 kV Stockem Ost|West,RWE,17610.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
404,22766160,22796434,380000,12,line,50,110 kV Stockem Ost- Urfeld West- Wesseling Nord|Süd-110 kV Siegburg Nord|Süd- Stockem Ost|West-110 kV Siegburg Nord- Stockem Ost-110 kV Stockem Ost|West-380 kV Siegtal Nord|Süd- 110 kV Stockem Ost-110 kV Stockem Ost-380 kV Siegtal Nord|Süd- 110 kV Stockem Ost|West,RWE,11565.0,0.00625,0.0625,54.8,10.4,Yes
405,22766160,22772508,380000,12,line,50,380 kV Siegtal Nord|Süd- 110 kV Stockem Ost-110 kV Stockem Ost- Urfeld West- Wesseling Nord|Süd-110 kV Stockem Ost-110 kV Stockem West,RWE,9070.0,0.00625,0.0625,54.8,10.4,Yes
406,22766160,31529684,110000,12,line,50,110 kV Urfeld West- Wesseling Nord|Süd-110 kV Stockem Ost- Urfeld West- Wesseling Nord|Süd-110 kV Urfeld West- Wesseling Nord,RWE,3727.0,,,,,Yes
407,22766160,22772631,110000,12,line,50,110 kV Urfeld West- Wesseling Nord|Süd-110 kV Stockem Ost- Urfeld West- Wesseling Nord|Süd-110 kV Wesseling Nord|Süd,RWE,4340.0,,,,,Yes
408,57786962,22690852,220000,12,line,50,-220 kV Bocklemünd Nord|Süd (Brauweiler),RWE,6043.0,0.02,0.08,46.0,5.2,Yes
409,150195641,28696208,110000,6,line,,,,31210.0,,,,,
410,42859099,42809973,110000,6,line,,110kV KVDM Ost+West,RWE,3835.0,,,,,
411,42660445,42681779,110000,6,line,50,,EON_Mitte,38073.0,,,,,Yes
412,42660445,42681484,110000,6,line,50,,EON_Mitte,24032.0,,,,,Yes
413,42660445,194452866,110000,6,line,50,,EON_Mitte,15010.0,,,,,Yes
414,42660445,42669918,110000,6,line,50,,EON_Mitte,21125.0,,,,,Yes
415,42660445,169123265,110000,6,line,50,,EON_Mitte,17081.0,,,,,Yes
416,175112801,22772508,220000,12,line,50,220 kV Gremberghoven Ost|West- 110 kV Porz Ost|West-110 kV Porz Ost|West,RWE,14550.0,0.02,0.08,46.0,5.2,Yes
417,175112801,29374385,110000,3,line,50,,RWE,39.0,,,,,
418,151581304,77466242,110000,,line,50,,,8491.0,,,,,
419,40196734,88714859,110000,6,line,50,,,9858.0,,,,,Yes
420,40196734,94059594,110000,6,line,50,-110kV Linnich Nord Ltg+?,RWE,17433.0,,,,,
421,40196734,25992879,110000,18,line,50,,RWE,22095.0,,,,,Yes
422,40196734,88714854,110000,,line,50,,,6270.0,,,,,
423,40196734,88714863,110000,,line,50,,,8732.0,,,,,
424,40196734,93544388,110000,,line,50,,,8971.0,,,,,
425,40196734,31452828,110000,6,line,50,,,11514.0,,,,,Yes
426,197960319,121385367,110000,6,line,,,markE,32635.0,,,,,
427,197960319,197965010,110000,12,line,,,markE,25774.0,,,,,Yes
428,197960319,107327286,110000,6,line,,,markE,22815.0,,,,,
429,197960319,157538617,110000,6,line,,,markE,20726.0,,,,,
430,197960319,160625586,110000,12,line,,,markE,2441.0,,,,,Yes
431,24232579,24229852,110000,6,line,50,,Westfalen Weser Netz GmbH,5526.0,,,,,
432,26593929,90142283,380000,12,line,50,-110 kV Mariaweiler Ost|West-380 kV Weisweiler Nord|Süd- 110 kV Mariaweiler Ost|West,RWE,5395.0,0.00625,0.0625,54.8,10.4,Yes
433,26593929,25426571,380000,18,line,50,-380 kV Weisweiler Süd-380 kV Weissweiler Nord|Süd- 110 kV Mariaweiler Ost|West-110 kV Mariaweiler Ost|West-380 kV Weisweiler Nord|Süd- 110 kV Mariaweiler Ost|West,RWE,16652.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
434,26593929,26593937,380000,18,line,50,380 kV Weissweiler Nord|Süd- 110 kV Mariaweiler Ost|West-110 kV Mariaweiler Ost|West-380 kV Weisweiler Nord|Süd- 110 kV Mariaweiler Ost|West,RWE,9359.0,0.00416666666667,0.0416666666667,82.2,15.6,Yes
435,25426571,39896654,110000,6,line,50,,,2359.0,,,,,
436,25426571,31395511,110000,6,line,,110 kV Eschweiler West Leitung,,4054.0,,,,,Yes
437,42566285,42681484,110000,6,line,50,,e.ON Westfalen Weser,20839.0,,,,,Yes
438,42566285,33299808,110000,6,line,50,,e.ON Westfalen Weser,10410.0,,,,,Yes
439,121199248,4474019,110000,12,line,50,RWE 1792 Anschluß Hüttenwerke Kayser-RWE 1790 Lünen - Weddinghofen,RWE,7577.0,,,,,Yes
440,121199248,24415232,220000,9,line,50,-RWE 1792 Anschluß Hüttenwerke Kayser-110kV Lünen Nord+Süd-RWE 1790 Lünen - Weddinghofen,RWE,9824.0,0.0266666666667,0.106666666667,34.5,3.9,Yes
441,26593937,59313069,110000,12,line,50,,RWE,8856.0,,,,,Yes
442,26593937,26919945,110000,12,line,50,,RWE,2898.0,,,,,
443,24799890,24239518,110000,12,line,50,-110kV Büttgen West+Willich Nord-110kV Willich Nord,RWE,17645.0,,,,,Yes
444,24799890,147468114,110000,12,line,50,-110kV Büttgen West+Willich Nord-110kV Willich Nord,RWE,13836.0,,,,,Yes
445,24799890,93404932,110000,6,line,50,-110kV Büttgen West+Willich Nord-110kV Willich Nord,RWE,6051.0,,,,,Yes
446,24799890,91854336,220000,12,line,50,,RWE,13947.0,0.02,0.08,46.0,5.2,Yes
447,24799890,24534620,220000,12,line,50,-110kV Lank Ost+West,RWE,5484.0,0.02,0.08,46.0,5.2,Yes
448,35818134,35818137,220000,12,line,,-110kV Laar Ost+West,RWE,2858.0,0.02,0.08,46.0,5.2,Yes
